,Tenor,Expiry,Fwd,-150,-100,-50,-25,0,25,50,100,150
0,2.0,0.25,0.0107638332259373,,-0.09073622033950879,0.12494063914107129,0.05153171417596697,-0.031093579318895448,-0.05264063845981076,-0.047513424242782876,0.012300491599623764,0.058411417848608926
1,2.0,0.5,0.011099189328091,,-0.06298711014033698,0.09082719817191276,0.03432623094022552,-0.01938053795366712,-0.04053404199720645,-0.03446816883931103,0.004470175277771882,0.04271002191696638
2,2.0,0.75,0.0116024287527238,,-0.03443386681090965,0.053440537296363666,0.019448089934800794,-0.012603822705078316,-0.023939666407003457,-0.021677014717231602,0.0007015631952564938,0.02557451658802734
3,2.0,1.0,0.0121935636676584,,-0.013323866061704548,0.022366771325164847,0.011883375239829519,-0.011960222512240215,-0.010416531578177124,-0.009599341406644202,0.00015033798314562086,0.012502334694554085
4,2.0,2.0,0.0161959844231264,,-0.04632134039587632,0.05346268482956973,0.04260296252071338,-0.010640735990530947,-0.03555362155669245,-0.031220258298640113,0.0009675903809944764,0.03732608736252152
5,2.0,5.0,0.0284363638504981,-0.0007433667007781808,0.0007599806920671193,0.0011601672510613281,0.0009885040106481502,-0.001782838846196011,-0.0008945133626978574,-0.0001790215632299641,0.00036070733580495506,0.0003618444825005396
6,2.0,10.0,0.0338734710965737,8.026670247268664e-05,0.0002765907708647819,-0.0004716139309320355,-0.00045542923845626193,3.755342396136174e-05,0.0002938165854128316,0.00040371017523169184,0.00013206787151318067,-0.00030629496397877043
7,5.0,0.25,0.0160174897353125,-0.024999881968603477,0.04936672567785694,0.01124170053722362,-0.003847370983195153,-0.014007419282077549,-0.01754354130784036,-0.014148023616348426,0.0038838874643667975,0.022089015974553095
8,5.0,0.5,0.0168024601574037,-0.013988072753445713,0.026061420924566203,0.0059882333850629355,-0.001986245375043494,-0.007836021925607672,-0.008626489895003253,-0.0083669429522506,0.0006596314669477521,0.012392755338207773
9,5.0,0.75,0.0176819474963739,-0.009724853985200177,0.017562649112008888,0.004015487140309637,-0.0017635967007892939,-0.0053793747396240765,-0.005139019384726828,-0.0052006434364223475,7.294672122604151e-05,0.007659394626986893
10,5.0,1.0,0.0186232260931809,-0.006469708888604431,0.01152228582361381,0.0030187578742233434,-0.0010218401124394982,-0.004165323572671964,-0.004078086901683209,-0.0031315504953738915,0.0005715991555576561,0.004733758705500968
11,5.0,2.0,0.0223841862550879,-0.0019527500893159466,0.00294702316853529,0.0013457291921226688,0.000270737750251715,-0.0014121318003162409,-0.001296399222679434,-0.0010660851529636362,-1.939277544249496e-05,0.0013165796110672923
